DW_LOCALIDADE;region_code;region_name;division;tp_cliente;address_number;city;country;customer_address_1;customer_address_2;state;zip_code
01791696a317bf2b5b0e2669c51aa742b7bacc45fc6f46fc005038afa4040900;5;International;1;International;10013312;Não informado;"";Não informado;Não informado;Não informado;Não informado
c444cfd55152a433dcf4686779a4c434b51f87681986a3763a123294e689e3b0;5;International;1;International;10018352;Não informado;"";Não informado;Não informado;Não informado;Não informado
a13ec71dac8d59bcce2e515e57252bbb7260b2c52b0b72735577d432ef98d92e;5;International;1;International;10022746;A 5102 Anthering;UK;Landstrasse 18;Não informado;Não informado;Não informado
818046ea6a7b14b989d1582460447d5b05a969684af70ce5c119e9517a05597e;5;International;1;International;10002150;Não informado;"";Não informado;Não informado;Não informado;Não informado
f86502eb955cb7c334ebcc280e9ae4e43b16c07aca71883dcda1c47db0630528;5;International;1;International;10019194;Não informado;"";Não informado;Não informado;Não informado;Não informado
ef33babd16c999ae2ad39a8ec0940aab15fabb194844a18398ee6759b41706d9;5;International;1;International;10026868;Valencia;UK;Aut Reg Del Centro Valencia;A Pto Cabello Dist Naguanagua;Não informado;Não informado
1cee39fe4054718e4c5bec926f6be915450281513c6f3c5b78b8d6c9e179db78;5;International;1;International;10018877;Beirut;AU;Dagher Plast Building 17;Baizoob Area;Não informado;Não informado
7c0531990e7e7fa876ea43c7bd35733b395609be04f16f32115ca2277527e0c7;5;International;1;International;10020715;Linares (Jaen);UK;Avda 10 De Mayo S/N;Não informado;Não informado;23700
9759b18660a53e8193203d08d31c74fd278bb2c231346f169f144fb0d753f611;5;International;1;International;10025288;Furstentum;AU;Kirchstrasse 39;FL 9490 Vaduz;Não informado;Não informado
a7e5b4a0124168beb2047a268cf97a7e4dd6a21294a151890327ea72c3ec96c0;5;International;1;International;10026334;Não informado;"";Não informado;Não informado;Não informado;Não informado
01709ed60ecc146b4a80babf7345c8cf5be50a4b945dd9495098c4a3d0d40f3f;5;International;1;International;10011821;Não informado;"";Não informado;Não informado;Não informado;Não informado
823e3814c27b7b2698bdabe03bbf76029eadc2505e628481551482f43b91f00b;5;International;1;International;10002501;Não informado;UK;Não informado;Não informado;Não informado;Não informado
cf9a1faeee55bdc50ae8f24010626e725d4b32cedc499fde66774d83f15e03a0;5;International;1;International;10025239;Não informado;UK;Não informado;Não informado;Não informado;Não informado
18c575294b12ee1db7e5697cb93cce31b075bbe3eb0c5dbb3af7b654019febee;5;International;1;International;10003882;Não informado;"";Não informado;Não informado;Não informado;Não informado
485107acb2571459d151d9e156546d23c99de33cc89853a6a424cf3cf6a1b502;5;International;1;International;10014540;1980 Santiago;UK;Avda Bdo O'Higgins;Não informado;Não informado;Não informado
07eebcbe5f8a46d987ef8cd6b52cf76501d1ddffc746f1f4fa11fe4b2a091373;5;International;1;International;10005043;San Jose;UK;Paseo Colon Calles 34-36;Não informado;Não informado;Não informado
15a3711327a047715db5d51a0eeac31e9921740c789cb45ef43385a15d49c7a3;5;International;1;International;10020672;N-0598 Oslo;IR;Brobekkveien 105;Não informado;Não informado;Não informado
d0acb129d88b9d19f0add6b3c0b248d458696272c6cc36b6568b24b88da72a86;5;International;1;International;10006836;Quito;UK;AV 6 DE DICIEMBRE;N47225 Y Samuel Fritz;Não informado;Não informado
41ddb4367f434182989ddc32505532c77558acfae50d8a9386f670f4a4e9fe1a;5;International;1;International;10012927;Não informado;"";Não informado;Não informado;Não informado;Não informado
b60a7687ddeb7b120698a4146800c2c1aacb541cc0a3304349755281b9596e81;5;International;1;International;10002159;Não informado;"";Não informado;Não informado;Não informado;Não informado
01f308643d31ed43df3513bfaa3fb86f821c52e8426b820583da71b24c5ad98b;5;International;1;International;10024915;Não informado;"";Não informado;Não informado;Não informado;Não informado
42cad8e278f21fc73b9400296a955973b57e814c443661e85b0baed557604645;5;International;1;International;10011052;Não informado;"";Não informado;Não informado;Não informado;Não informado
c21c56ec600d71752343eb3e427ac9ac247ed889002d4a8801b548d66e2ecf00;5;International;1;International;10002144;Não informado;"";Não informado;Não informado;Não informado;Não informado
9120621dfd4704bf7423cbdf6033fa87fe0d6c12c816eb9fca57749274092651;5;International;1;International;10012369;Não informado;"";Não informado;Não informado;Não informado;Não informado
9395b3517ee97655f0f18d884982d89ca1a81fcfe7237b95083587f55b2a0787;5;International;1;International;10013899;Não informado;"";Não informado;Não informado;Não informado;Não informado
d099cb73cb93932c26748409b137fdb701567d9388652dc20099c51d18f686b5;5;International;1;International;10013332;Não informado;"";Não informado;Não informado;Não informado;Não informado
279a8013b29565268a96401b79a537a22610385494fbd5b3e0bba7b5631ab03c;5;International;1;International;10022201;Carcas;UK;Av Blandin Chacao;Não informado;Não informado;Não informado
59b9ac3d0c692112f82b48c93e239d0acf7cfa6344274710ce5c35ae10f0c365;5;International;1;International;10024704;Não informado;"";Não informado;Não informado;Não informado;Não informado
39a08343d9a99d227c0345cfc33b841ab49e5b41b62348246f41afea04a9e943;5;International;1;International;10020449;Santiago;UK;Attention: Rodrigo Yrarrazaval;Jose M Infante 2320 Nunoa;Não informado;Não informado
9044a9b56441cca9849646ca7f6d44137d15fedc024931e152f320be27c8ae70;5;International;1;International;10025353;Não informado;"";Não informado;Não informado;Não informado;Não informado
f29eade2ba97dbfbf864bf611826eedb676bc193d996a7a2d9672b7494c5c4d5;5;International;1;International;10007117;Taipei;AU;8F No.19 Chang Chun Road;Não informado;Não informado;104
a3b6c5e1675aa4e3ce0e4c6433994b06968a1597eea605b9b4ecbffd2dde384b;5;International;1;International;10025242;Seoul;AU;Parts Division;140-2 Kye-Dong;Não informado;110-793
fe8ccb6af1d12f5d3a8347e0a6c5c02a491d46123f6feb7c6a42c90693a838f4;5;International;1;International;10005376;Não informado;"";Não informado;Não informado;Não informado;Não informado
40eacc513f186fd3d7ccd0f6b9cc39378a67708a040bea73750b94f203886263;5;International;1;International;10013426;Não informado;"";Não informado;Não informado;Não informado;Não informado
cbd0be654f82e6abbab0c0b266e1f9a1a2f95b2f4bb93ded11d7393daa88ff3b;5;International;1;International;10010882;Não informado;"";Não informado;Não informado;Não informado;Não informado
9c33f9cbbf10d11eb84af61c9a081a50aa1c9a6aade50300e7b8082d83752b50;5;International;1;International;10011360;Não informado;"";Não informado;Não informado;Não informado;Não informado
aabf32a57e3f62016c4bc1341f4edc44fd865e77d33d1a3e3fb46e594a46f3b1;5;International;1;International;10005919;Não informado;"";Não informado;Não informado;Não informado;Não informado
8d7bd4b052587fe19f1fe84c6441a6835248dcc07878fae393b16babbb948273;5;International;1;International;10020982;Não informado;"";Não informado;Não informado;Não informado;Não informado
25e6e54826f4e4cf11f9d712c438210250d39e26b44677c77a436cfe49fe1d17;5;International;1;International;10024880;Não informado;"";Não informado;Não informado;Não informado;Não informado
4a73ffbc694f0024bf24bbff098a813677b81df09378e15c9a826c0bf52c566d;5;International;1;International;10002161;Não informado;"";Não informado;Não informado;Não informado;Não informado
48c3b7d86c1594ce06dfbcbeb471ef7a6325d01f21c513e8b241f29d3606e46c;5;International;1;International;10007448;Não informado;"";Não informado;Não informado;Não informado;Não informado
9563b1d75f99ce98226037f04321a8801eb46de0ac004610713dcfefadc9db10;5;International;1;International;10015011;SE-132 28 Saltsjo-Boo;AU;Svarvarvagen 14;Não informado;Não informado;Não informado
b88450aa29aa10e2ca822bfbf75aba5cacbf089fc1939d818a3f381cb075521d;5;International;1;International;10009639;Industriestrasse 17;UK;Industriestrasse 17;8910 Affoltern AA;Não informado;Não informado
092074d2b665f4edc4639ec5957cfaba1f2865eea7b33bbe7492f28749c64277;5;International;1;International;10012161;Não informado;"";Não informado;Não informado;Não informado;Não informado
af1a330d0ae5b02d7ec4eb4f363e1770935e195ae8bc4b35c47c929102253493;5;International;1;International;10025467;Não informado;"";Não informado;Não informado;Não informado;Não informado
0ca85f406beac7803200e51b4e8b06adbdb508c3a8adc76b34b5ebf364089c07;5;International;1;International;10011979;4100 Porto;UK;Rua Eng Ferreira Dia 241-243;Não informado;Não informado;Não informado
04d9988ddf94cb9572ea65cd52be33914d3f44a52658dd84f0d6c9dd09d2b4c9;5;International;1;International;10018371;00-394 Warsaw;UK;Solec 44;Não informado;Não informado;Não informado
6c51358ed2256544d858f1723663a405b5c984e4a9dcec7065d281df3732ff15;5;International;1;International;10002137;Não informado;"";Não informado;Não informado;Não informado;Não informado
f4b3361e8efe54ef0c78996085508fbdb906148d8b734474aaa64601c9066c9b;5;International;1;International;10006917;Não informado;"";Não informado;Não informado;Não informado;Não informado
78b9ebefad9df4641e1822864ac5e8ee64239b47246e440bedad6123dab84421;5;International;1;International;10014802;Não informado;"";Não informado;Não informado;Não informado;Não informado
e7ce0c29e106108ffd488fe827b9cc46715ddbf3b6245451aadc3a033196f436;5;International;1;International;10024924;Não informado;"";Não informado;Não informado;Não informado;Não informado
95e61c7fa21f6e0bd812dd9ac09b545860387340cc8dde290d0f177981c82387;5;International;1;International;10003554;Não informado;"";Não informado;Não informado;Não informado;Não informado
b1e17b625fa6e9a21143db406e53bc44be7c4aa9ec5a4c81f0b35bffb9d7932b;5;International;1;International;10005922;Não informado;"";Não informado;Não informado;Não informado;Não informado
26a110c2815ea8a215a553408038c94157f9adc23f3b1efd7d573617de44d4e6;5;International;1;International;10007134;Não informado;"";Não informado;Não informado;Não informado;Não informado
c2698a5a568a2b05f46a54e4b3515947ede475119e53b83a5d8e5c20468dae1b;5;International;1;International;10013080;Não informado;"";Não informado;Não informado;Não informado;Não informado
1d40dd0be17f6d7d16579d69f26f23086b52f97fc55c2e8c2f1f272807989552;5;International;1;International;10020080;Não informado;"";Não informado;Não informado;Não informado;Não informado
56bb04640bebe807135dc389f66af7b4762b9b3b35ca9ac70b4092069090228b;5;International;1;International;10013670;Não informado;"";Não informado;Não informado;Não informado;Não informado
7f817d177556de05cb1202f8ca1f5da895899d076c80d8180adb18e045a45e7c;5;International;1;International;10013538;Não informado;"";Não informado;Não informado;Não informado;Não informado
b23405c0be3026f67c3575bbe40497a230b96e175458911d9ee775550e429aff;5;International;1;International;10020515;Não informado;"";Não informado;Não informado;Não informado;Não informado
d0f55a944806dae2098714a5813123a6047f89d0394d14f1b016c239fad50546;5;International;1;International;10023703;Istanbul;AU;DUMEN SOK. No:3 D.9;GUMUSSUYU;Não informado;80090
87ef8a5fb219a19668e801beb5eb3c1af737faf0c97da1bbd40eb22c3aa6e95d;5;International;1;International;10025086;Não informado;"";Não informado;Não informado;Não informado;Não informado
1f93e43925ea672a015c80eaa36dbda2466a355ac537b6b8e15c26af1c31be8b;5;International;1;International;10010865;Não informado;"";Não informado;Não informado;Não informado;Não informado
4a15ab3c71b7c00c0ed1e2e453555012081e5b2197b044b1c708aad3f3833dde;5;International;1;International;10011345;Não informado;"";Não informado;Não informado;Não informado;Não informado
b98bab2a7917915f846fd3f9d5cd7d94fee039f8778808074ac6d3d54c2c7cbc;5;International;1;International;10007866;Sao Paulo;UK;Rua Sepetiba 464;Não informado;Não informado;5052
b80a22e49d139f8b91c52371c05b4e8e59f078bbaedad459b98b7241f0ea99f3;5;International;1;International;10020849;Não informado;"";Não informado;Não informado;Não informado;Não informado
b59076ecc4edadb7804384b01694529152c5b2aa3408fbb7d37d972bef1ca885;5;International;1;International;10021240;Não informado;"";Não informado;Não informado;Não informado;Não informado
3b169dce0a839b60c07c98630746e4757400efe6e0f28057194cf6840f2a3499;5;International;1;International;10025241;Hamamatsu City;AU;RU-3 Hamamatsu Nishi;PO Box 1;Não informado;432-8611
acc234b3b27cf9651c4ef771735d76bb1451105f5e799a0f0cf773b900559796;5;International;1;International;10021107;Não informado;"";Não informado;Não informado;Não informado;Não informado
39c59e0d7f7636abe697a5d18acc8079f55f17097fe78ce07b316a3340803a45;5;International;1;International;10000499;Não informado;"";Não informado;Não informado;Não informado;Não informado
265c069afbaf5d6cf82eb81cdde7ef028da8b940d71fdc5c84e1bca4187a14c0;5;International;1;International;10007591;FIN 00710;UK;Hiekkakiventie 7;Não informado;Não informado;710
f3cde055b1f45ae2c14d1801079a2835dcb99acae12acd6769a3e99a6f057d07;5;International;1;International;10019952;Não informado;"";Não informado;Não informado;Não informado;Não informado
0326c0c75f5a13aabef8ef431c5e92bce587d4758ada16160c290d38a7258058;5;International;1;International;10020227;Não informado;"";Não informado;Não informado;Não informado;Não informado
8dd191c3a79b3c7108768be378ddab636ec92ae48279d6c85fa24b67d73d1659;5;International;1;International;10007457;Não informado;"";Não informado;Não informado;Não informado;Não informado
f6051bf2c4beece2cce4d39f98b7f37cc14597ccb5db93aadb9d45207d3834f1;5;International;1;International;10012305;Não informado;"";Não informado;Não informado;Não informado;Não informado
ace48fac32e896af3463355d3900012f67a8362911a1aa2ce32153e3f965ca7c;5;International;1;International;10005688;Não informado;"";Não informado;Não informado;Não informado;Não informado
8dd7408b9da0e811039e7b0aa8eddc1999f9bc1baa10b73b297aa9a4439bbdce;5;International;1;International;10012128;Não informado;"";Não informado;Não informado;Não informado;Não informado
8a8bbaa4d01688ef496383dae37bebbb4d312f302c1e14424eaa7687bafd91d9;5;International;1;International;10024930;Não informado;"";Não informado;Não informado;Não informado;Não informado
c25bb67c1235f6b73b81d0c50453e945ee5e412db234f85fb08e3b76946d4bf1;5;International;1;International;10025158;Não informado;"";Não informado;Não informado;Não informado;Não informado
74fff94047faf94831d61a98c692ea7a313d1ece658098af319a061f34ea88a0;5;International;1;International;10025359;Não informado;"";Não informado;Não informado;Não informado;Não informado
82588bb26e4f028a0bf3f19dd80dd1890b5f17d5771494d62d866d0426ac0073;5;International;1;International;10009669;Não informado;UK;Não informado;Não informado;Não informado;Não informado
fc12e125540b1fb82792718596da4a4b809ec48f922c720531dc05733144948f;5;International;1;International;10013341;Não informado;"";Não informado;Não informado;Não informado;Não informado
d1e37c9f0f734ac5ebd47a66d734ba3b0e216900f6d844159c4911678251c997;5;International;1;International;10021239;Não informado;"";Não informado;Não informado;Não informado;Não informado
0d7ccc3dcd4bd1372ba91139d5e005c7d25fe8cc516436278d0135aabdb66e9c;5;International;1;International;10021286;Não informado;"";Não informado;Não informado;Não informado;Não informado
391827b73c2150c2861f73bbc5c202abe862622ebdeedf45f5f3f4434e79b0ef;5;International;1;International;10012851;Não informado;"";Não informado;Não informado;Não informado;Não informado
b08a5fc53553ba73322a481911551de0a8c7da374f033180569c76e1662eaf0b;5;International;1;International;10020193;Não informado;UK;Não informado;Não informado;Não informado;Não informado
5636691a5adbbb62ac90bb4e7ef149f3474704a08145496362140b11798a44e0;5;International;1;International;10011732;Não informado;UK;Não informado;Não informado;Não informado;Não informado
