DW_TEMPO;invoice_date;Ano;Mes;Dia;Trimestre
6d7555d14b190f1e9e60a74f7b6ff54865168149def7ad94573fa6b880ee2402;2017-10-12 00:00:00;2017;10;12;4
d339dd97bfa9975edfc0cdc7d09c9f83e09f0f4472ac41a3ccca3ea961bc4099;2018-06-19 00:00:00;2018;6;19;2
b98bd8cf11fef7b9b27cb91c181685c88a40b85a2b6619e5ee1ccb8e7205112e;2017-06-08 00:00:00;2017;6;8;2
f6f366cef9150d9169345b62f0534fc8b678ac5fc167620cbcd64d9567ad28cb;2017-08-17 00:00:00;2017;8;17;3
91cd8a5322a00d928356a9b2d04644c15f42bfb7a3de80f9ba19b91170df5b11;2017-12-30 00:00:00;2017;12;30;4
e6dc988e8ccfa397dc5d3d2da8f7839fa2b766ef5514be252af06b4c8dbabce5;2017-05-28 00:00:00;2017;5;28;2
ea99f70d9754fb3b97a2c9ffca1ee5eeec0c4f04d4f5c95cfd127332fd1d9920;2018-06-23 00:00:00;2018;6;23;2
593b8c1b3a4f5495368ee3e21b9a28e9f3ed41761afc431fd1a2fe720f557129;2017-12-17 00:00:00;2017;12;17;4
023d9288a9e444d874c941fae65b5054eca5b13d4ec2537a5df3dd24a4a01c78;2018-04-16 00:00:00;2018;4;16;2
6038e60882468a34400669ce7d340ffc46fff250bcf5c00aaa9a8d92ded63c2b;2017-02-12 00:00:00;2017;2;12;1
653646fda8489c1437fd3e9382b0a8a76d0bce26b86d099e87af3293df6ec570;2017-04-21 00:00:00;2017;4;21;2
57b4c6817a4a4486c9ff0ae54d9d72864e634f1dc9eaeb89d252b208f5081972;2017-07-20 00:00:00;2017;7;20;3
2d9e9881720aebcc0deca9efbd4ccc2d413c2d838cca188b1755673656187981;2018-11-14 00:00:00;2018;11;14;4
6d5e19ef4379566331a487cffe4fbe995acc431cd7bdfb1fe9c88f4e3b66f6c9;2017-08-30 00:00:00;2017;8;30;3
9dab4cc6cacf3e2fe7ca23587b2e7704e2da67617ce06878d3bab546f3ee6096;2018-09-15 00:00:00;2018;9;15;3
52f31ecd01ee5186f6131c405db424463d3f48b991c6c4e239261925a66fc696;2018-11-27 00:00:00;2018;11;27;4
0a17d3e16cb65d837ad98a1b69878a8f227e704078268d7a5eb2660f03def7c0;2018-12-17 00:00:00;2018;12;17;4
6974bb9775e9c4305cbaf72ba80f725456d94582f26c1f228070ff89a8478b6d;2018-08-14 00:00:00;2018;8;14;3
181a85de4550c3ee5606bef6570d0a57d70c947b609b81b9b9f9be70e1195a91;2019-03-12 00:00:00;2019;3;12;1
49ed4dbf13c6049638ab64f8b37c235c6c46f884fe5881c7ca260abb20a1b90a;2017-02-08 00:00:00;2017;2;8;1
ffaad5bdc22dae431b1ce30a9a2bbdee0a306d43eb7a9490df7fe9353340cb28;2017-09-21 00:00:00;2017;9;21;3
9a58e53da9a550a6cee44e70cb2e0952ab7a275eee438d412545d1a67fabfae3;2018-12-23 00:00:00;2018;12;23;4
ec9e1e8210a8698895c3e032e097c34fbc75554ca3db99c9dda65c1e26074803;2017-07-19 00:00:00;2017;7;19;3
dbddbf2baa7da6a5911a5717bce24bd7050c00724f39180e828c2f1c0f1b85d5;2018-04-29 00:00:00;2018;4;29;2
a1079fd4c830ba6e85d8c8129f7cf6c8a1dd06b27d37da1742030168ae398d74;2018-11-05 00:00:00;2018;11;5;4
cdb3652e24a37c3e475314272a828a4783f4df5e2564c1a7de2a2ad423431e23;2017-04-08 00:00:00;2017;4;8;2
62cfde296b89afce3ddc20eee2fbfcbcd97b87138871122b23f2fa6fe0c8d9e1;2017-08-19 00:00:00;2017;8;19;3
19d5f8828c61da17d766c70f02bab7454507cf2450f98c8f59a83308c02ec0b0;2017-08-05 00:00:00;2017;8;5;3
8178ca2f01da90b8ac33d5a2921812a767509d55427457c0faf38a7a499ce5e6;2018-05-05 00:00:00;2018;5;5;2
df47bc8b605e73d2f87b79bfeb2d0125bdbe00505ec37fcd911ae8b04def3d31;2018-08-25 00:00:00;2018;8;25;3
6ec2924b221a87154f84de2569f1bf1d7c01ded44208ed806f3961c33d6b48c8;2017-01-26 00:00:00;2017;1;26;1
f633828588a5665368b477e616851591e4936a25cad1e7240f6ded32a86987c8;2018-09-18 00:00:00;2018;9;18;3
22bc183f674f4a0efef2aa164822a82760d23377c7d2dfdb98919fc4f05fb842;2017-07-27 00:00:00;2017;7;27;3
458ffe06b17533accbe65801c287a6f7bdcbafff4e51aa00feca93a05663d0a5;2019-03-04 00:00:00;2019;3;4;1
0abe560822ba60719f447b556476e51ca7c6c289b82aa823420bc32c17f75f79;2018-03-26 00:00:00;2018;3;26;1
4525778a05e3db3a482d54ea4cf7573ce444b273906530302c66a13a09703712;2017-03-18 00:00:00;2017;3;18;1
f77d6d09d928ab51b21031273a05b0d485f3e76207ee584fc5108fde7175e41d;2017-09-28 00:00:00;2017;9;28;3
50bccf44856b5d4ec1446cc33b40fccda0e65ae561f4c85ed89632cba4a14bbe;2017-04-05 00:00:00;2017;4;5;2
a61ec377eba3dfab09817df4ed5632f7236600b4ca7fbe10b2d8d2d85786af4b;2017-05-12 00:00:00;2017;5;12;2
e1492ea26c4bfddfbe515104008731eaea45e98d1670c919eadc400780988b34;2017-09-22 00:00:00;2017;9;22;3
2e194410faf453752f4c6221b0dc844abf208467f1785f066a4299444e6f819a;2017-12-31 00:00:00;2017;12;31;4
c67f19bced2587ee2a4e3988c2a824b00a670145e7eeecbd911b594585e8b37d;2018-06-12 00:00:00;2018;6;12;2
b8bddb27a003a2bc9d091513d39acfff01bde95ac425ce2bdfaf6efca65aced2;2017-12-22 00:00:00;2017;12;22;4
a5843c226b9f2ad584ba508c0d28b8cd5f760299b04c6396f500791fa9c4a7de;2018-08-22 00:00:00;2018;8;22;3
4d1b15d598b96abd915078b67ea9d480a6692541694d931fb4c0521f450c4892;2018-07-02 00:00:00;2018;7;2;3
feae05fd3daf0ed397d4fe7acad0c4300f1cff257cbb8840a008f385df740ded;2017-02-22 00:00:00;2017;2;22;1
6550467d0039c035fc840a231bb61c6703fd254d5622226a9eb83b4091aa0e2c;2017-03-22 00:00:00;2017;3;22;1
0c3f612ab11182784b3e749a2617b23fbe110288e296265da8b838aa68571bb3;2017-04-20 00:00:00;2017;4;20;2
0a3dd741c228a88f891db8c8da26344be957712205e68bd29fac0b2bcfbfce90;2017-04-22 00:00:00;2017;4;22;2
2d56d3c2f81f4b868ef73c5c89fd78ab7154c6a5ca3a494abbf7d28e3914b09c;2018-06-04 00:00:00;2018;6;4;2
6b553db03b535c1351251568ddb1cab3e35697f037f82256115757f721049657;2017-02-10 00:00:00;2017;2;10;1
36863b1d4f7908f3d1499b4dbb2be5c1e083151e96202381ba7a143e8fe0b8ef;2018-03-28 00:00:00;2018;3;28;1
55e162defaacaf651bc60e0752b65de6d9b58c573f6135b97123b324b4000169;2018-01-21 00:00:00;2018;1;21;1
c384532b249da4ab9a498df62233d00fcb56e30d043af7270365e3f1a7f97fa9;2018-09-24 00:00:00;2018;9;24;3
a4c118da86efe79c1006e4c9e62418bcda0f6960b3df07ebefff2ee2779bd62c;2017-06-18 00:00:00;2017;6;18;2
2aadf5d21493415fe190610682140ac6fcfc56fcd771bf6dc60b6db05ccddbca;2017-09-29 00:00:00;2017;9;29;3
10121f245991074174b74f31f788198e62a381b57c286a1f2cab9081c3597732;2019-01-02 00:00:00;2019;1;2;1
4248a012cdc7894bbce679e8c8bf396720ff38cd893a7c77941295b123443a2a;2018-01-07 00:00:00;2018;1;7;1
ee7890e17d52da2e0225ad0c12bfc134cc924895355a3ae38ac1eae5af09a7b4;2017-07-14 00:00:00;2017;7;14;3
6ccdd2bcbbcd26a8393201710f8b07e177c9943517bbce232b389dbab19381a1;2018-07-15 00:00:00;2018;7;15;3
a9dbfd59799cbfee85c2b63f27ca37376350454a7c97d3656ac2c72c1f75b453;2017-02-19 00:00:00;2017;2;19;1
5227e172cb1b9f856faba1ae2907058369e5bbf50b73bee05726c3271b01f802;2017-04-29 00:00:00;2017;4;29;2
0790bc7caaf85024a9d153ed6784d317d317bdb91e98a8117755ea32f274eee7;2017-06-30 00:00:00;2017;6;30;2
da9f83bd05f18cf1991625680ca327daa21bff741be4ac2b251bf379c9156ed1;2017-07-30 00:00:00;2017;7;30;3
b122ce706f67b18c7d32588b968ffec1481ec491be30f255ad46e33c30328f63;2017-06-21 00:00:00;2017;6;21;2
